Slide No (LS .No.),State,District,Toposheet,Name of the slide,NH/SH/Locality,Latitude,Longitude,Length(m),Width(m),Height(m),Area(m2),Depth(m),Volume(m3),Run out distance,Type of Material,Type of movement,Rate of movement,Activity,Distribution,Style,Failure mechanism,History,Geomorphology,Geology,Structure,Land use/ Land cover,Hydrological condition,Triggering Factor,Death of persons,People affected,Live-stock loss,Communication,Infrastructure,Agriculture/forest/Barren land,Causes,Remedial,Rainfall 24hr,Landslide category,Terrain slope,,
exposed to water percolation","1. As a temporary measure, covering of slope with tarpaulin during
monsoon season to avoid rain water percolation.
2. Temporary mitigative measures in the form of deeply pitched strong
bamboo species or tree trunks fence/ bio barriers may be placed
between the slope and house as a barrier. The same may be installed in
the down-slope portion of the house.
3. Removal of uprooted trees on the crown of slide.
4. Slope easing or terracing may also be considered.
5. If the slope is to be cut for the construction of house, the excavated
slope should be supported properly and adequately.
6. Construction of any structure (kuccha/pucca house) should be done
away from the topographic depression (nala). Natural drainage and
stream path should not be obstructed during construction; it should
flow freely considering the seasonal discharge.",70,2,45,,Link
ASM/KGJ/83D05/2020/007,Assam,Karimganj,83 D/5,Karimpur Slide 1,"Karimpur, Nilam Bazar","N 24Â°47'1.7"" (Datum: WGS 1984)","E 92Â°27'20.3"" (Datum: WGS 1984)",50,20,30,100,2,2000,30,Soil,Slide,Rapid,Active,Advancing,Single,Shallow translational,No,"Lowly dissected hill slope: dissected by two first order streams. 
 On regional scale, the area is characterized by low undulating landforms.","Highly weathered ferruginous sandstone with intercalations of thin clay/ 
 mudstone bed of Bokabil Formation (Surma Group of rocks)","S0: 295Ëš/20Ëš NE (data recorded from adjacent slope, few meters away from 
 the left flank of the slide)","Settlement with cut slope/ Moderately vegetated with tall trees (towards 
 upslope from the mid slope portion) and Bamboo (towards downslope 
 from the mid slope portion)",Wet,Incessant and heavy rainfall ,1,10,9,Nil,1,Forest,"The following geo-scientific causes were observed: 
 1. Unplanned cutting of slope/ toe removal at an angle of 90Ëš for 
 levelling and house construction.
2. Non–cohesive overburden material/ regolith thickness of >5 m.
3. Moderate steep natural slope angle of about 40°.
4. Hill slope dissected by first order streams leading to erosion.
5. Incessant and heavy rainfall leading to oversaturation of weak slope
forming mat","1. Removal of uproted trees on the right flank of the slide.
2. Systematic diversion of surface water runoff from the affected slope
through construction of berm drain and lined hillside drain for proper
water disposal during rainfall.
3. The slope should be covered with plants/grass of fibrous root to hold
the soil and prevent it from further erosion.
4. Covering of affected slope with tarpaulin sheet during monsoon season.
5. Strong RCC retaining wall with weep holes may be considered, with at
least 2–3 m buffer zone from the toe of cut slope for the protection of
house from depleted mass in case of reactivation of slide.
6. Modification of slope by providing benches of adequate width may also
be considered",135,2,40,,
ASM/KGJ/83D05/2020/0008,Assam,Karimganj,83 D/5,Karimpur Slide 2,"Karimpur, Nilam Bazar","N 24Â°46'48.1"" (Datum: WGS 1984)","E 92Â°27'13.4"" (Datum: WGS 1984)",10,8,8,80,1,80,15,Soil,Slide,Very rapid,Active,Advancing,Single,Shallow translational,No,"Lowly dissected hill slope: dissected by two first order streams. 
 On regional scale, the area is characterized by low undulating landforms.",Highly weathered sandstone of Bokabil Formation (Surma Group of rocks),NA,Settlement with cut slope/ Sparse vegetation,Wet,"Incessant and heavy 
 rainfall ",5,5,0,Nil,1,Forested,"The following geo-scientific causes were observed: 
 1. Disturbance of natural slope for levelling and house construction without applying any stability measures
2. Presence of first order stream in the right flank of the slope (Figure 2).
3. Non–cohesive overburden material/ regolith thickness of >5 m.
4. Thick section of overburden comprising highly weathered sandstone with
thin soil cover.
5. Moderate steep natural slope angle of about 45°.
6. Distinct rill erosion on the scarp face.
7. Incessant and heavy rainfall leading to oversaturation of slope forming
material, increase of hydrostatic pressure and loss of cohesion.","1. Temporary mitigation measures in the form of deeply pitched strong
bamboo species or tree trunks fence/ bio barriers may be installed.
2. Long term preventive measure such as RCC retaining wall of about 2.5 – 3
m high founded on sound substratum with sufficient weep holes may be
constructed to avert any harm from recurring slides to the people living just
down slope of the affected site
3. Unloading of the crown and modification of slope leaving a bench in
between.
4. Fibrous root plants/ grass are also suggested for strengthening the
vulnerable slopes and preventing erosion.
5. Channeling and diversion of surface water runoff from the affected slope.",135,2,45,,
MEG/WJH/83C3/2020/01,Meghalaya,West Jaintia Hills,83C3,Iawmusiang Landslide - I,Iawmusiang Wahthanad,25Â°26â€²32.4â€³ N,92Â°11â€²40.1â€³ E,20,20,35,400,3,1200,40,Debris,Slide,Rapid,Suspended,Confined,Single,Shallow translational,No,Moderately dissected slope,Weathered quartz-mica schist.,S0: 95Â°/80Â°S; J1: 140Â°/60Â°E; J2: 55Â°/60Â°E,Settlement area with moderate vegetation,Wet,Incessant Rainfall,0,0,0,Nil,1,Forested downslope,"1. The landslide is triggered by the active toe erosion of the
recently constructed stone masonry wall by the high discharge
of flowing stream.
2. Persistent surface and sub-surface infiltration of water on
backfill of the wall aggravated the instability of the slope. ","1. Construction of reinforced concrete retaining wall with
sufficient weep holes at the toe of the landslide. The height of
the concrete retaining wall should be based on statistical
assessment of the expected flow and highest level of stream
flooding.
2. Benched stone masonry wall can be erected over the
reinforced retaining wall with appropriate backfill material
which is adequately granular and permeable.
3. In addition, contour draining at the crown area to divert
surface water at appropriate location.
4. The existing breast wall at the side of the building may be
provided with additional weep holes.
5. In the area about 50m upslope from this location near the
water tank, proper chute drain should be constructed to channel
domestic sewage as the slope is assessed to be unstable.",70,2,50,,Link
MEG/WJH/83C3/2020/02,Meghalaya,West Jaintia Hills,83C3,Iawmusiang Landslide â€“ II,Iawmusiang Wahthanad,25Â°26â€²30.4â€³ N,92Â°11â€²44.1â€³ E,30,10,25,300,2,600,8,Debris,Slide,Rapid,Suspended,Confined,Single,Shallow rotational,No,Moderately dissected slope (Slope Direction 40Â° southerly),Quartzite of Shillong Group,S0: 90Â°/60Â°N; J1: 50Â°/32Â°S; J2: 3Â°/Vertical,Sparsely vegetated and settlement area.,Wet,Incessant rainfall,0,0,0,Nil,0,Forested,"1. 
 Surface water 
 infiltration 
 along 
 the 
 rock-overburden 
 interface and reduction 
 in the shear strength of the slope 
 forming material. 
 2. Presence of the adverse geological discontinuity, joint set-1 dipping valley side of the slope providing ease of overburden
displacement.","1. Construction of properly designed reinforced concrete
breast wall with sufficient weep holes to support the sliding
mass.
2. Chute drain should be constructed at the side of the building
foundation to prevent scouring/erosion.
3. Provision of improved drainage system upslope to be made
which will reduce the surface and sub surface seepage of
water",65,2,40,,Link
MEG/WJH/83C3/2020/03,Meghalaya,West Jaintia Hills,83C3,Riatsiatsim Landslide,Riatsiatsim,25Â°26'29.0â€³ N,"92Â°11'27.9""E",80,20,60,160,3,480,120,Debris,Flow,Rapid,Suspended,Retrogressive,Successive,Shallow translational,No,Moderately dissected slopes,Quartz mica schist of Shillong Group,Nil,"Moderately vegetated; both on the upslope and downslope with 
 settlement.",Wet,Incessant rainfall,0,0,0,Temporary road blockage,"Road affected, one toilet and septic tank washed away",Forested,"1. The upslope of the road is over steepened exhibiting benched 
 linear 
 slope 
 susceptible 
 to 
 scouring and 
 infiltration. 
 Improper 
 drainage 
 system 
 led 
 to 
 oversaturation 
 of 
 overburden 
 and 
 weathered 
 rock 
 reducing 
 the 
 shear 
 strength of 
 the material considerably.
2. Due to the slope cutting, vegetation has been removed which
considerably affected the slope stability.
3. An ephemeral gully is observed at the downslope of the road and
water along the existing concave slope tend to channel in
concentrated flow paths causing severe gullying and head ward
erosion over time. ","1. On the hillside of the road, construction of reinforced concrete
breast wall with adequate weep holes should be considered.
2. Construction of properly designed drainage system on the
upslope of the road to reduce the head ward erosion due to
domestic discharge from the settlement area. Maintenance of road
side drainage to be ensured by construction of side drain below the
cut slope to improve the drainage system.
3. Below the road it is recommended to construct benched gabion
walls on the sides of the gully/streamlet with suitably designed
stepped chute drain in the middle to mitigate head ward erosion
and scouring of the existing retaining wall and foundation of the
building.
4. Domestic sewage drain of the existing building below the road
should be aligned and drained away from the crown area. ",68,2,70,cut slope,Link
MEG/WJH/83C3/2020/04,Meghalaya,West Jaintia Hills,83C3,Chutwakhu road landslide,Chutwakhu Rd near Govt. Boyâ€™s Higher secondary school,"25Â°26'10.7""N","92Â°11'42.9""E",15,10,10,150,5,750,40,Soil,Slide,Rapid,Active,Laterally widening,Single,Rotational,No,Moderately dissected slopes (Slope direction 45Â° towards 115Â°),Sandstone of Shella Formation,Nil,Settlement,Wet,Incessant rainfall,0,5,0,Temporary road blockage,"Soil from the landslide filled up the ground floor rooms of the 
 houses affected",,"1. The slope 
 is entirely composed of 6-7m thick soil. Water 
 collected 
 in puddle above 
 the crown during 
 the period of 
 incessant rainfall, infiltrated into the soil with no drainage system 
 to channel the surface runoff. This led to the super-saturation of 
 the overburden reducing the shear strength of the material and 
 triggered slope failure.
2. No benching of slope was observed unlike the adjoining part
of the affected slope which could have reduced the shear stress
component.
2. It is observed that the slip surface exit is along the joint
between the older intact breast wall and subsequently built
retaining wall erected over it as a separate unit. Reliable and
strong buttress system/structure to resist the surcharge loading
is absent at the downslope which aggravated the instability of
the slope.","1. Construction of concrete retaining wall along the road with
sufficient number of weep holes and side drain.
2. Benched masonry wall similar to the adjoining slope should be
constructed along the affected slope with suitably designed
chute drain.
3. In addition, ditch drain at the crown area to divert the surface
run off away from the affected slope and prevent ponding of
water at the vicinity of the affected slope",75,1,45,,Link
MEG/WJH/83C3/2020/05,Meghalaya,West Jaintia Hills,83C3,Chilliangraij Landslide,Chilliangraij,"25Â° 26' 6.2"" N","92Â° 11' 54.1"" E",10,12,8,120,1,120,20,Debris,Slide,Rapid,Suspended,Confined,Single,Rotational,No,Moderately dissected slopes,Sandstone of Shella Formation,Sub-horizontal beds with cross beds,Settlement.,Damp,Incessant rainfall,0,0,0,Nil,Debris entered in to the premise of the house,Forested,"1. The slope 
 is partly excavated and composed of highly 
 weathered sandstone and dumped material. 
 2. No breast wall was observed on the affected part unlike 
 the adjoining parts which are provided with breast wall and 
 apparently stabilized. 
 2. In absence of drainage system, super-saturation by rain 
 water infiltration reduced the shear strength parameters of the slope forming material.","1. Construction of benched gabion wall above the compound
wall to arrest the further movement of the debris.
2. Above the crown area, the constructed walls seem very old
and need maintenance to withstand the load and suitable
drainage design to divert the surface water.
3. The drainage lines of the upslope settlement may be
suitably aligned to divert surface runoff away from the
affected area.",65,2,40,,Link
MEG/WJH/83C3/2020/06,Meghalaya,West Jaintia Hills,83C3,Salaroh Landslide,Salaroh,"25Â° 26' 50.7"" N","92Â° 12' 5"" E",10,8,8,180,2,360,5,Soil,Slide,Rapid,Suspended,Confined,Single,Rotational,No,"Moderately dissected slopes (Slope direction 60Â° towards 
 170Â°)",Sandstone of Shella Formation,Sub-horizontal beds,Settlement.,Wet,Incessant rainfall,0,0,0,Temporary footpath blockage,"Toilet, septic tank, footpath",Forested,"1. Moderately 
 steep 
 slope has been 
 cut 
 in benches 
 for 
 construction of settlements. Buttress system/breast wall 
 is 
 absent along the benched slope which aggravated the slope 
 failure. However, in the adjoining slope, exposed rock is serving 
 as toe buttress. 
 2. The slope is covered with variable thickness of overburden 
 from 1-2 m. Water 
 infiltration due to poor drainage system super saturated the overburden on the slope increasing the
pore water pressure and drastically reducing the shear
strength.
3. In addition, the domestic sewage water is being discharged at
various locations on the slope from the settlement areas
situated upslope.","1. The slopes adjoining the affected slope are assessed to be
vulnerable to further instability under similar adverse
hydrological condition. Therefore, in addition to ditch drains, it
is strongly recommended to construct chute drainage both at
the affected slope and also adjoining settlements to divert the
domestic discharge/surface water towards appropriate
location.
2. Construction of benched gabion wall on the affected slope to
arrest further sliding of the unconsolidated material.
3. Construction of breast wall in all the benched slopes in the
vicinity and settlements around the affected slope with suitable
number of weep holes to arrest displacement of overburden of
1-2 m thickness resting on the rock.",70,2,60,,Link
MEG/WJH/83C3/2020/07,Meghalaya,West Jaintia Hills,83C3,Caroline-Jowai,Caroline colony,"25Â° 27' 2.7"" N","92Â° 11' 40.3"" E",20,10,15,200,2,400,50,Debris,Slide,Rapid,Suspended,Confined,Single,Rotational,No,"Moderately dissected slopes (Slope direction 40Â° towards 
 330Â°)",Granitoid,Nil,"Settlement, road",Wet,Incessant rainfall,0,0,0,Temporary footpath blockage,"Building foundation affected, retaining wall collapsed",Sparsely forested,"1. A gully/streamlet is observed further down-slope; the
existing concave slope facilitated the concentrated flow of
water causing head ward erosion over time and aggravating
slope instability.
2. The steep slope is covered by thin layer of debris underlain by weathered rock profile. The incessant rainfall has triggered
the slope instability by facilitating the percolation of rain water,
thereby drastically reducing the shear strength of the
overburden material.
3. It was noticed that the slope was also used for dumping of
material which got oversaturated during the rainfall.","1. Construction of benched gabion is to be done on the steep
slope to arrest the movement of the debris.
2. Construction of contoured & lined drainage to divert the
surface water, in order to prevent percolation of the water in
the loose debris.
3. Since sparse undergrowth is observed on the affected slope,
the use of suitable non-invasive plant species such as vetiver
with deep and wide lateral spread roots system can be
employed.",70,3,40,,Link
MEG/WJH/83C3/2020/08,Meghalaya,West Jaintia Hills,83C3,Shillong-Agartala-Sabrum Rd,Shillong-Agartala-Sabrum Rd.,"25Â° 27' 12.66"" N","92Â° 11' 16.25"" E",50,15,30,750,5,3750,50,Soil,Rotational,Rapid,Suspended,Confined,Single,Rotational,No,"Moderately dissected slopes (Slope direction 40Â° towards 
 330Â°)",Granitoid,Nil,Natural slope with moderately vegetation.,Wet,Incessant rainfall,0,0,0,0,"Temporary road blockage, electric pole collapsed",,"1. The slope is characterized by considerably thick overburden 
 material (soil) and exhibits linear-convex morphometry which is 
 susceptible to infiltration and erosion. 
 2. The slope is covered with pine trees but has relatively sparse 
 undergrowth which apparently could not provide substantial root cohesion","1. To prevent retrogression of the landslide re-vegetation of the
affected slope can be considered.
2. Alternatively, timber crib wall can be erected at the depleted
zone to prevent head ward erosion.",70,3,40,,Link
MEG/EKH/78O14/2020-21/1,Meghalaya,East Khasi Hills,78O/14,Umjapung slide,Mawiong Umjapung,,,20,15,10,300,3,3000,0,soil,slide,Rapid,Active,Retrogressive,Single,Shallow Translational failure,Yes,Moderately dissected slope,"Highly weathered 
 quartzite/phyllite 
 of 
 Shillong 
 Group",NIL,Settlement,Wet,Heavy rainfall,0,5,0,0,House / Settlement area,Settlement area,"a. Poorly built retention wall supporting modified 
 slope for settlement. 
 b. Very loose and saturated soil 
 c. 
 Increase in pore water pressure and decrease of 
 shear strength due to oversaturation","1. Removal of loose boulders and debris material 
 from the affected area. 
 2. Construction of breast wall with sufficient weep 
 holes on a sound foundation. Construction of side 
 drain below the wall to avoid the further weakening 
 of the wall foundation/toe due to erosion/scouring of 
 the weathered soil.",70,2,40,,Link